altura,latitud,longitud
9723,-73.3312593814,38.1633233163
9722,-73.3357359255,38.1562062353
9721,-73.3402113353,38.1490898126
9720,-73.3446856111,38.1419740482
9719,-73.3491587531,38.1348589422
9718,-73.3536307616,38.1277444944
9717,-73.3581016368,38.120630705
9716,-73.3625713789,38.1135175739
9715,-73.3670399881,38.1064051011
9714,-73.3715074648,38.0992932866
9713,-73.375973809,38.0921821303
9712,-73.3804390211,38.0850716323
9711,-73.3849031013,38.0779617926
9710,-73.3893660498,38.0708526112
9709,-73.3938278668,38.063744088
9708,-73.3982885527,38.0566362231
9707,-73.4027481075,38.0495290165
9706,-73.4072065316,38.042422468
9705,-73.4116638252,38.0353165778
9704,-73.4161199885,38.0282113459
9703,-73.4205750218,38.0211067721
9702,-73.4250289252,38.0140028566
9701,-73.429481699,38.0068995993
9700,-73.4339333435,37.9997970002
9699,-73.4383838589,37.9926950593
9698,-73.4428332454,37.9855937766
9697,-73.4472815032,37.9784931521
9696,-73.4517286326,37.9713931857
9695,-73.4561746339,37.9642938776
9694,-73.4606195071,37.9571952276
9693,-73.4650632527,37.9500972358
9692,-73.4695058707,37.9429999021
9691,-73.4739473615,37.9359032266
9690,-73.4783877253,37.9288072092
9689,-73.4828269622,37.92171185
9688,-73.4872650726,37.9146171489
9687,-73.4917020567,37.9075231059
9686,-73.4961379147,37.9004297211
9685,-73.5005726468,37.8933369943
9684,-73.5050062533,37.8862449257
9683,-73.5094387344,37.8791535152
9682,-73.5138700904,37.8720627628
9681,-73.5183003214,37.8649726684
9680,-73.5227294277,37.8578832322
9679,-73.5271574095,37.850794454
9678,-73.5315842671,37.843706334
9677,-73.5360100007,37.8366188719
9676,-73.5404346105,37.829532068
9675,-73.5448580968,37.8224459221
9674,-73.5492804597,37.8153604342
9673,-73.5537016996,37.8082756044
9672,-73.5581218167,37.8011914327
9671,-73.5625408111,37.7941079189
9670,-73.5669586832,37.7870250632
9669,-73.5713754331,37.7799428655
9668,-73.5757910611,37.7728613258
9667,-73.5802055674,37.7657804442
9666,-73.5846189523,37.7587002205
9665,-73.5890312159,37.7516206548
9664,-73.5934423586,37.7445417471
9663,-73.5978523805,37.7374634975
9662,-73.6022612818,37.7303859057
9661,-73.6066690629,37.723308972
9660,-73.611075724,37.7162326962
9659,-73.6154812652,37.7091570784
9658,-73.6198856868,37.7020821185
9657,-73.624288989,37.6950078166
9656,-73.6286911721,37.6879341726
9655,-73.6330922364,37.6808611866
9654,-73.6374921819,37.6737888585
9653,-73.641891009,37.6667171883
9652,-73.6462887179,37.659646176
9651,-73.6506853088,37.6525758217
9650,-73.655080782,37.6455061252
9649,-73.6594751377,37.6384370867
9648,-73.6638683761,37.631368706
9647,-73.6682604975,37.6243009832
9646,-73.672651502,37.6172339183
9645,-73.67704139,37.6101675113
9644,-73.6814301616,37.6031017622
9643,-73.685817817,37.5960366709
9642,-73.6902043566,37.5889722375
9641,-73.6945897806,37.5819084619
9640,-73.6989740891,37.5748453442
9639,-73.7033572824,37.5677828843
9638,-73.7077393607,37.5607210823
9637,-73.7121203244,37.5536599381
9636,-73.7165001735,37.5465994517
9635,-73.7208789083,37.5395396231
9634,-73.7252565291,37.5324804523
9633,-73.7296330361,37.5254219393
9632,-73.7340084296,37.5183640842
9631,-73.7383827096,37.5113068868
9630,-73.7427558766,37.5042503472
9629,-73.7471279307,37.4971944654
9628,-73.7514988721,37.4901392414
